,country,order_value_eur,cost,date,category,customer_name,sales_manager,sales_rep,device_type,order_id,profit,profit_margin,year,month
11,UK,66673.19,52811.83,2019-02-23,Smartphones,Gislason-Stanton,Jessamine Apark,Winny Agnolo,PC,25-6368157,13861.36,20.79000569794246,2019,2
12,Portugal,136915.61,114790.05,2020-01-04,Outdoors,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Tablet,15-3943365,22125.559999999983,16.159998118549073,2020,1
13,UK,164971.7,132686.74,2019-07-20,Accessories,Wisoky Inc,Jessamine Apark,Winny Agnolo,PC,32-3534634,32284.96000000002,19.569998975581886,2019,7
14,UK,149486.27,118662.2,2019-08-06,Beauty,Johns and Sons,Jessamine Apark,Genevra Charrisson,PC,02-3972649,30824.069999999992,20.62000075324643,2019,8
15,Sweden,54078.92,46102.28,2020-11-08,Books,Tillman and Sons,Maxie Marrow,Anita Woakes,PC,08-7576451,7976.639999999999,14.749998705595452,2020,11
16,France,107499.78,91364.06,2019-02-26,Smartphones,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,PC,68-3583935,16135.720000000001,15.010002811168546,2019,2
17,UK,29493.79,24285.19,2019-11-22,Games,Tillman and Sons,Jessamine Apark,Jay Morefield,PC,53-7769693,5208.600000000002,17.659988763736372,2019,11
18,Portugal,147656.52,124193.9,2019-06-05,Smartphones,Goldner-Dibbert,Celine Tumasian,Corene Shirer,PC,85-4732103,23462.619999999995,15.889999303789631,2019,6
19,Portugal,156839.31,134709.28,2020-05-11,Smartphones,Stamm Inc,Celine Tumasian,Corene Shirer,PC,27-9800293,22130.03,14.110002141682465,2020,5
20,Spain,81412.1,64747.04,2019-11-06,Electronics,Johns and Sons,Emalia Dinse,Bertha Walbrook,PC,67-3929836,16665.060000000005,20.47000384463735,2019,11
21,Sweden,56717.53,45101.78,2019-03-10,Clothing,Johns and Sons,Maxie Marrow,Alyosha Meah,PC,13-0526029,11615.75,20.47999974611024,2019,3
22,Netherlands,17028.19,14102.75,2020-02-07,Clothing,Johns and Sons,Denice Amberg,Nero Harbisher,PC,38-5910704,2925.4399999999987,17.17998213550588,2020,2
23,Finland,236462.3,205674.91,2020-12-23,Clothing,Hessel-Stiedemann,Hube Corey,Wat Bowkley,PC,41-6407014,30787.389999999985,13.019999382565416,2020,12
24,Portugal,172989.17,142975.55,2020-06-10,Beauty,Romaguera-Dietrich,Celine Tumasian,Hortense Gerring,PC,22-6745595,30013.620000000024,17.349999424819497,2020,6
25,Sweden,48179.57,41405.52,2020-08-14,Books,Franecki-White,Maxie Marrow,Anita Woakes,PC,96-3022721,6774.050000000003,14.060005101747489,2020,8
26,Portugal,121318.55,102890.26,2020-03-10,Electronics,"Jacobson, Marvin and Brown",Celine Tumasian,Aurelie Wren,Tablet,48-0713329,18428.290000000008,15.19000185874296,2020,3
27,Belgium,93153.98,79702.55,2020-04-03,Appliances,Armstrong-Little,Lambert Norheny,Collin Mackness,Mobile,50-0942872,13451.429999999993,14.439994941708335,2020,4
28,Bulgaria,98289.32,84116.0,2019-02-15,Appliances,"Murray, Reichel and Nolan",Charil Alpe,Shermy McGready,PC,78-2307905,14173.320000000007,14.420000056974661,2019,2
29,Luxembourg,108920.56,94270.74,2019-07-08,Books,"Swaniawski, Runolfsson and Green",Ilsa Kob,Jocelyn Laurentino,PC,63-0019978,14649.819999999992,13.450004296709448,2019,7
30,Portugal,37273.84,31559.76,2020-01-20,Games,Considine-Fisher,Celine Tumasian,Aurelie Wren,Tablet,26-9948924,5714.079999999998,15.330000879973726,2020,1
31,Spain,221745.05,190767.27,2019-06-25,Appliances,Kirlin and Sons,Emalia Dinse,Bertha Walbrook,Mobile,72-7630507,30977.78,13.969998428375291,2019,6
32,Netherlands,54566.99,43757.27,2020-03-23,Smartphones,Friesen-Rath,Denice Amberg,Nero Harbisher,PC,36-3410564,10809.720000000001,19.809998682353566,2020,3
33,Portugal,111639.29,97204.33,2019-10-28,Smartphones,"Keeling, Monahan and Pollich",Celine Tumasian,Hortense Gerring,PC,82-4653018,14434.959999999992,12.929999823538822,2019,10
34,Sweden,74273.54,61981.27,2020-03-28,Beauty,"Swaniawski, Runolfsson and Green",Maxie Marrow,Caro Morfield,PC,29-1001593,12292.269999999997,16.549998828654186,2020,3
35,Portugal,95566.43,80342.7,2019-05-07,Clothing,Hessel-Stiedemann,Celine Tumasian,Hortense Gerring,PC,59-5568557,15223.729999999996,15.929997594343535,2019,5
36,France,28783.05,24776.45,2019-03-29,Clothing,Dibbert Inc,Othello Bowes,Maighdiln Upcraft,PC,12-1249283,4006.5999999999985,13.91999805441049,2019,3
37,UK,124414.74,98959.48,2019-06-13,Outdoors,Labadie and Sons,Jessamine Apark,Winny Agnolo,PC,96-0180648,25455.26000000001,20.460003372590744,2019,6
38,Portugal,153029.72,125117.1,2020-01-28,Games,Friesen-Rath,Celine Tumasian,Corene Shirer,PC,51-9029547,27912.619999999995,18.239999393581847,2020,1
39,Sweden,174919.64,146845.04,2020-11-03,Clothing,Wiza and Sons,Maxie Marrow,Caro Morfield,Mobile,84-2614836,28074.600000000006,16.049998730845775,2020,11
40,France,55804.05,46401.07,2019-03-05,Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,PC,57-6995715,9402.980000000003,16.849995654437272,2019,3
41,France,89160.66,75367.51,2019-11-18,Beauty,Wiza and Sons,Othello Bowes,Crysta Halls,PC,27-4115444,13793.150000000009,15.469995399316256,2019,11
42,UK,27987.13,24001.76,2019-03-26,Games,Labadie and Sons,Jessamine Apark,Genevra Charrisson,PC,34-3302340,3985.3700000000026,14.240009604414611,2019,3
43,France,18326.41,15067.97,2019-02-03,Games,"Schmitt, Purdy and Johnson",Othello Bowes,Ora Grennan,PC,25-6638623,3258.4400000000005,17.780023474319304,2019,2
44,Netherlands,62708.6,51414.78,2019-08-29,Smartphones,"Hamill, Kulas and Roob",Denice Amberg,Nero Harbisher,PC,11-5260310,11293.82,18.01000181793247,2019,8
45,UK,124668.36,103998.35,2020-11-05,Games,Hessel-Stiedemann,Jessamine Apark,Winny Agnolo,PC,68-5024232,20670.009999999995,16.57999672090015,2020,11
46,Italy,109390.57,87414.0,2020-11-12,Other,Schoen-Keeling,Piggy Roscrigg,Joshua Prevost,Mobile,90-2530115,21976.570000000007,20.090004101816096,2020,11
47,Portugal,103279.79,82334.65,2020-03-12,Appliances,Johns and Sons,Celine Tumasian,Aurelie Wren,PC,23-8271333,20945.14,20.27999863283998,2020,3
48,France,173478.65,139650.31,2019-01-29,Books,Johns and Sons,Othello Bowes,Avrit Chanders,PC,99-7422044,33828.34,19.50000187342938,2019,1
49,Sweden,57927.54,48914.01,2019-01-18,Games,"Fisher, Morar and Skiles",Maxie Marrow,Alyosha Meah,Mobile,67-6692861,9013.529999999999,15.560008244783049,2019,1
50,Portugal,84767.77,68950.1,2020-01-18,Electronics,McGlynn-Bergstrom,Celine Tumasian,Smitty Culverhouse,Mobile,20-3441688,15817.669999999998,18.66000485797845,2020,1
51,France,138175.53,116744.51,2020-11-03,Other,"Spencer, Rogahn and Muller",Othello Bowes,Ora Grennan,PC,80-8230605,21431.020000000004,15.509996596358272,2020,11
52,Portugal,143107.89,121241.0,2020-11-02,Electronics,Kirlin and Sons,Celine Tumasian,Hortense Gerring,Mobile,18-0704377,21866.890000000014,15.280003080193561,2020,11
53,Sweden,54446.5,44989.14,2020-03-09,Appliances,Wunsch LLC,Maxie Marrow,Alyosha Meah,Tablet,47-5524071,9457.36,17.370005418162783,2020,3
54,Portugal,136324.9,110436.8,2019-10-29,Electronics,Walter LLC,Celine Tumasian,Hortense Gerring,Tablet,76-2572347,25888.09999999999,18.990001092977142,2019,10
55,Portugal,43066.58,36154.39,2019-02-08,Games,"Hamill, Kulas and Roob",Celine Tumasian,Hortense Gerring,Mobile,74-4429133,6912.190000000002,16.050009078965644,2019,2
56,France,224626.25,189988.88,2020-07-21,Electronics,"Christiansen, Donnelly and Bechtelar",Othello Bowes,Ora Grennan,PC,69-1300467,34637.369999999995,15.420001001663872,2020,7
57,France,115689.22,98127.6,2019-07-15,Clothing,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,PC,99-8643527,17561.619999999995,15.179996891672356,2019,7
58,Bulgaria,78293.94,66236.67,2019-10-13,Appliances,"Rowe, Hermiston and Kessler",Charil Alpe,Bernadine Fullagar,Mobile,14-1143584,12057.270000000004,15.400004138251317,2019,10
59,Portugal,92698.45,73454.25,2020-01-13,Clothing,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,PC,62-4331197,19244.199999999997,20.760001920204704,2020,1
60,Bulgaria,83141.47,72000.51,2019-03-15,Outdoors,Wisoky Inc,Charil Alpe,Shermy McGready,Mobile,02-3333733,11140.960000000006,13.400003632363013,2019,3
61,Portugal,38982.26,32854.25,2019-10-12,Clothing,Hegmann Group,Celine Tumasian,Smitty Culverhouse,Mobile,09-3959499,6128.010000000002,15.719996736977285,2019,10
62,Portugal,57120.58,49654.92,2019-11-25,Games,"Leffler, Prohaska and Streich",Celine Tumasian,Aurelie Wren,PC,55-7848276,7465.6600000000035,13.070000339632411,2019,11
63,Sweden,240759.07,205415.64,2020-06-14,Appliances,"Schmitt, Purdy and Johnson",Maxie Marrow,Tarrah Castelletti,PC,98-1814878,35343.42999999999,14.67999938693898,2020,6
64,Sweden,53849.12,47354.92,2020-04-15,Games,"Rowe, Hermiston and Kessler",Maxie Marrow,Alyosha Meah,PC,83-9569509,6494.200000000004,12.059992809538956,2020,4
65,Ireland,361182.87,288368.4,2019-12-02,Books,Smith Group,Glenine Suttaby,Bunnie Tonbridge,PC,44-1953194,72814.46999999997,20.160000943566338,2019,12
66,Sweden,97063.22,78067.95,2019-10-19,Appliances,"Zieme, Bailey and Herzog",Maxie Marrow,Madelon Bront,Tablet,50-0376562,18995.270000000004,19.5699977808278,2019,10
67,Spain,39110.97,34315.97,2019-10-27,Clothing,"Bashirian, Okuneva and Bechtelar",Emalia Dinse,Perri Aldersley,PC,06-9596696,4795.0,12.259987415295504,2019,10
68,France,123672.7,106036.97,2020-11-13,Smartphones,McGlynn-Prosacco,Othello Bowes,Crysta Halls,PC,46-2632808,17635.729999999996,14.260002409585946,2020,11
69,France,144640.8,118345.1,2019-04-11,Electronics,"Murray, Reichel and Nolan",Othello Bowes,Avrit Chanders,PC,77-7771177,26295.699999999983,18.180001769901704,2019,4
70,France,268779.03,233676.49,2019-12-27,Smartphones,O'Connell-Mitchell,Othello Bowes,Ora Grennan,Mobile,13-0624842,35102.54000000004,13.059999509634377,2019,12
71,Sweden,53593.86,45629.81,2020-07-12,Electronics,Friesen-Rath,Maxie Marrow,Caro Morfield,PC,71-4409662,7964.050000000003,14.860004485588465,2020,7
72,France,155044.02,134268.12,2019-10-25,Beauty,West-Cummings,Othello Bowes,Amelina Piscopiello,PC,46-0270404,20775.899999999994,13.40000085137111,2019,10
73,Portugal,102495.13,85009.46,2020-08-08,Smartphones,"Hermiston, Simonis and Wisoky",Celine Tumasian,Hortense Gerring,Tablet,70-7107956,17485.67,17.06000080198932,2020,8
74,Portugal,294472.77,255572.92,2019-06-11,Smartphones,Gislason-Stanton,Celine Tumasian,Smitty Culverhouse,Tablet,84-5310661,38899.850000000006,13.209999009416052,2019,6
75,Sweden,64053.77,54733.95,2020-09-01,Beauty,Armstrong-Little,Maxie Marrow,Anita Woakes,PC,75-6638402,9319.82,14.549994481199155,2020,9
76,UK,24543.72,19492.62,2019-03-22,Clothing,Hessel-Stiedemann,Jessamine Apark,Jay Morefield,PC,53-0615558,5051.100000000002,20.580009876253484,2019,3
77,Portugal,161544.06,132579.21,2019-09-12,Clothing,Johns and Sons,Celine Tumasian,Smitty Culverhouse,PC,00-2549549,28964.850000000006,17.930000025999103,2019,9
78,Portugal,50303.66,41103.12,2020-01-06,Appliances,"Christiansen, Donnelly and Bechtelar",Celine Tumasian,Smitty Culverhouse,PC,23-1397222,9200.54,18.290001164925176,2020,1
79,Sweden,124593.04,109106.13,2020-01-11,Appliances,Johns and Sons,Maxie Marrow,Madelon Bront,Mobile,00-4698524,15486.909999999989,12.429996089669206,2020,1
80,Sweden,44147.92,37163.72,2020-05-18,Beauty,"Murray, Reichel and Nolan",Maxie Marrow,Madelon Bront,PC,76-3837496,6984.199999999997,15.819997861733912,2020,5
81,Bulgaria,42239.66,37039.96,2019-05-17,Smartphones,Johns and Sons,Charil Alpe,Shermy McGready,PC,61-7979087,5199.700000000004,12.30999491946669,2019,5
82,Sweden,113763.38,91158.6,2020-04-01,Books,"Christiansen, Donnelly and Bechtelar",Maxie Marrow,Madelon Bront,PC,52-8377955,22604.78,19.869996830262952,2020,4
83,Portugal,183363.6,155033.92,2019-06-24,Smartphones,Johns and Sons,Celine Tumasian,Hortense Gerring,PC,87-6162387,28329.679999999993,15.450002072385136,2019,6
84,France,85220.83,73767.15,2019-09-15,Beauty,"Shanahan, Schaden and Parker",Othello Bowes,Crysta Halls,Tablet,11-8965256,11453.680000000008,13.440000525693083,2019,9
85,Portugal,87513.27,72469.74,2020-03-05,Books,"Lubowitz, McLaughlin and Erdman",Celine Tumasian,Corene Shirer,Mobile,16-9079414,15043.529999999999,17.189998728192876,2020,3
86,Bulgaria,37073.91,30274.55,2019-04-26,Books,Rath-Schroeder,Charil Alpe,Bernadine Fullagar,Tablet,15-9091881,6799.360000000004,18.340013233025605,2019,4
87,France,122139.94,103684.6,2019-11-02,Smartphones,Smith Group,Othello Bowes,Ora Grennan,PC,07-3222085,18455.339999999997,15.109995960371355,2019,11
88,France,107586.21,94525.24,2020-06-07,Electronics,"Spencer, Rogahn and Muller",Othello Bowes,Amelina Piscopiello,PC,20-3384992,13060.970000000001,12.14000381647425,2020,6
89,UK,203958.16,176444.2,2020-12-02,Appliances,Larkin-Collier,Jessamine Apark,Genevra Charrisson,PC,09-3404706,27513.959999999992,13.490002067090618,2020,12
90,Portugal,55132.39,47121.65,2019-06-11,Clothing,"Dickinson, Hyatt and Berge",Celine Tumasian,Hortense Gerring,PC,97-8712680,8010.739999999998,14.530006770974374,2019,6
91,Ireland,135424.06,116275.1,2020-01-15,Electronics,"Hamill, Kulas and Roob",Glenine Suttaby,Palm Wetherald,PC,43-4245267,19148.959999999992,14.139998461130165,2020,1
92,Sweden,167123.72,132946.92,2019-08-01,Smartphones,Hegmann Group,Maxie Marrow,Alyosha Meah,PC,58-8969119,34176.79999999999,20.44999955721425,2019,8
93,Germany,92868.37,79068.13,2020-03-30,Electronics,"Fisher, Morar and Skiles",Rickard Doogood,Casie MacBain,PC,88-8436664,13800.23999999999,14.86000023474084,2020,3
94,Portugal,108689.45,91223.06,2019-11-09,Appliances,Walter LLC,Celine Tumasian,Brynn Dempster,Mobile,35-6825112,17466.39,16.069995753957723,2019,11
95,Portugal,79874.42,68132.88,2020-11-14,Outdoors,"Farrell, Swaniawski and Crist",Celine Tumasian,Smitty Culverhouse,PC,24-4511396,11741.539999999994,14.700000325510961,2020,11
96,Germany,153011.39,131543.89,2019-09-13,Appliances,Johns and Sons,Rickard Doogood,Casie MacBain,PC,99-0564964,21467.5,14.03000129598195,2019,9
97,Portugal,72857.41,60442.51,2020-05-10,Clothing,Armstrong-Little,Celine Tumasian,Brynn Dempster,PC,47-9920494,12414.900000000001,17.03999634354282,2020,5
98,France,102771.44,83584.01,2019-11-24,Accessories,McClure Inc,Othello Bowes,Maighdiln Upcraft,PC,82-9352154,19187.430000000008,18.67000209396697,2019,11
99,UK,90559.16,75318.05,2019-08-26,Outdoors,"Dickinson, Hyatt and Berge",Jessamine Apark,Genevra Charrisson,PC,74-6920956,15241.11,16.830003723532773,2019,8
100,Portugal,141796.75,112317.21,2020-09-16,Games,Johns and Sons,Celine Tumasian,Corene Shirer,PC,16-8778373,29479.539999999994,20.789996949859564,2020,9
101,Bulgaria,103874.1,82112.48,2019-01-14,Outdoors,Johns and Sons,Charil Alpe,Shermy McGready,PC,85-4014655,21761.62000000001,20.94999619731965,2019,1
102,Spain,134908.19,114388.65,2020-08-18,Clothing,Romaguera-Dietrich,Emalia Dinse,Perri Aldersley,PC,25-2355172,20519.540000000008,15.21000318809407,2020,8
103,Portugal,45256.74,38975.1,2019-01-14,Other,"Spencer, Rogahn and Muller",Celine Tumasian,Smitty Culverhouse,PC,31-7667796,6281.639999999999,13.88000991675494,2019,1
104,Portugal,131018.65,107920.06,2020-04-02,Clothing,Hane Inc,Celine Tumasian,Brynn Dempster,PC,39-2536155,23098.589999999997,17.630001530316484,2020,4
105,Ireland,84877.87,68454.0,2019-12-01,Electronics,"Zieme, Bailey and Herzog",Glenine Suttaby,Bunnie Tonbridge,PC,30-8840089,16423.869999999995,19.350002538942125,2019,12
106,France,168197.78,144246.42,2019-01-13,Smartphones,Kihn Inc,Othello Bowes,Crysta Halls,PC,93-8309926,23951.359999999986,14.239997697948207,2019,1
107,UK,383996.76,304701.43,2019-12-19,Other,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,42-7823733,79295.33000000002,20.649999755206274,2019,12
108,France,56811.14,48221.3,2019-10-07,Clothing,"Schowalter, Lesch and Beahan",Othello Bowes,Ora Grennan,PC,03-9337803,8589.839999999997,15.119992311367096,2019,10
109,Portugal,74364.46,60145.98,2020-01-21,Clothing,Altenwerth-Konopelski,Celine Tumasian,Aurelie Wren,Mobile,42-1879788,14218.480000000003,19.11999360985073,2020,1
110,Finland,235608.66,201468.96,2020-07-27,Games,Hegmann Group,Hube Corey,Wat Bowkley,Tablet,42-8394841,34139.70000000001,14.4900021926189,2020,7
111,Sweden,31627.37,25662.45,2020-08-27,Beauty,"Christiansen, Donnelly and Bechtelar",Maxie Marrow,Caro Morfield,Mobile,84-5642889,5964.919999999998,18.85999373327595,2020,8
112,Sweden,57227.99,46331.78,2019-03-28,Appliances,Johns and Sons,Maxie Marrow,Alyosha Meah,PC,92-7234550,10896.21,19.040001230167263,2019,3
113,Portugal,84598.68,72391.09,2020-04-28,Clothing,"Hamill, Kulas and Roob",Celine Tumasian,Brynn Dempster,PC,98-5721101,12207.589999999997,14.43000056265653,2020,4
114,Sweden,98322.98,84872.4,2020-10-09,Clothing,Hessel-Stiedemann,Maxie Marrow,Tarrah Castelletti,PC,32-9344186,13450.580000000002,13.679996273505951,2020,10
115,Netherlands,62567.58,49916.42,2019-04-21,Clothing,Hessel-Stiedemann,Denice Amberg,Nero Harbisher,PC,40-7356336,12651.160000000003,20.219992526480972,2019,4
116,Sweden,239423.57,199152.52,2019-12-08,Electronics,"Hamill, Kulas and Roob",Maxie Marrow,Madelon Bront,Mobile,94-1762263,40271.05000000002,16.820002308043446,2019,12
117,France,68773.03,59082.91,2019-09-30,Games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,26-5649751,9690.119999999995,14.090000106146256,2019,9
118,Germany,102918.09,87480.38,2019-10-28,Smartphones,"Swaniawski, Runolfsson and Green",Rickard Doogood,Casie MacBain,PC,88-5343320,15437.709999999992,14.999996599237308,2019,10
119,UK,150313.19,118927.8,2020-01-23,Beauty,Johns and Sons,Jessamine Apark,Jay Morefield,PC,09-6527060,31385.39,20.879997290989564,2020,1
120,Sweden,144072.9,123729.81,2019-07-13,Beauty,"Fisher, Morar and Skiles",Maxie Marrow,Anita Woakes,PC,85-3431441,20343.089999999997,14.119997584556149,2019,7
121,Sweden,69681.43,55529.13,2020-01-25,Clothing,Romaguera-Dietrich,Maxie Marrow,Alyosha Meah,PC,78-3301264,14152.299999999996,20.310002248805738,2020,1
122,Sweden,78542.59,68010.03,2019-05-26,Games,Kihn Inc,Maxie Marrow,Caro Morfield,PC,02-9523107,10532.559999999998,13.409998320656344,2019,5
123,Portugal,37582.13,31967.36,2020-05-07,Appliances,Hilll-Vandervort,Celine Tumasian,Smitty Culverhouse,Mobile,19-9205287,5614.769999999997,14.93999940929372,2020,5
124,Sweden,88329.48,73755.12,2020-08-16,Clothing,Corwin and Sons,Maxie Marrow,Caro Morfield,Mobile,94-1199389,14574.36,16.499995245075596,2020,8
125,Portugal,249099.44,215695.2,2020-06-15,Other,Johns and Sons,Celine Tumasian,Corene Shirer,PC,88-4621939,33404.23999999999,13.410002045769348,2020,6
126,UK,28328.78,24408.08,2019-02-19,Clothing,"Dickinson, Hyatt and Berge",Jessamine Apark,Jay Morefield,PC,68-9634139,3920.699999999997,13.839988873506016,2019,2
127,Portugal,162246.76,142663.58,2019-08-28,Games,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,PC,44-5200140,19583.180000000022,12.069997576530971,2019,8
128,Germany,161217.16,135696.48,2019-10-20,Games,Labadie and Sons,Rickard Doogood,Casie MacBain,PC,98-6247105,25520.679999999993,15.830002215645031,2019,10
129,France,37397.43,30837.92,2020-05-17,Games,Hegmann Group,Othello Bowes,Avrit Chanders,PC,24-6566439,6559.510000000002,17.540002080356864,2020,5
130,UK,99064.31,85393.44,2020-07-10,Books,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,52-9152387,13670.869999999995,13.799995174851565,2020,7
131,Sweden,15817.05,13743.44,2019-03-10,Clothing,Kihn Inc,Maxie Marrow,Anita Woakes,PC,26-9787272,2073.6099999999988,13.109966776358418,2019,3
132,Portugal,38930.16,32837.59,2020-11-18,Outdoors,"Spencer, Rogahn and Muller",Celine Tumasian,Brynn Dempster,PC,12-2202467,6092.570000000007,15.649999897251915,2020,11
133,Portugal,28859.73,23656.32,2019-01-09,Electronics,Larkin-Collier,Celine Tumasian,Corene Shirer,Mobile,82-0537890,5203.41,18.030002359689433,2019,1
134,France,54079.04,45031.62,2020-05-29,Games,"Lueilwitz, Kerluke and Lesch",Othello Bowes,Avrit Chanders,PC,15-6838362,9047.419999999998,16.729993727699306,2020,5
135,Sweden,70596.7,60564.91,2020-02-09,Electronics,Hilll-Vandervort,Maxie Marrow,Alyosha Meah,PC,51-0685379,10031.789999999994,14.20999848434841,2020,2
136,UK,169629.55,135347.42,2019-10-23,Outdoors,Johns and Sons,Jessamine Apark,Jay Morefield,PC,76-5919033,34282.129999999976,20.209998788536538,2019,10
137,Portugal,95387.89,76195.85,2020-05-08,Books,Gislason-Stanton,Celine Tumasian,Aurelie Wren,PC,34-7627348,19192.039999999994,20.119996364318357,2020,5
138,France,50585.98,40999.94,2020-08-29,Beauty,"Bashirian, Okuneva and Bechtelar",Othello Bowes,Maighdiln Upcraft,Tablet,32-1940437,9586.04,18.949993654368267,2020,8
139,Sweden,103726.57,90231.74,2020-05-21,Clothing,Dibbert Inc,Maxie Marrow,Caro Morfield,Mobile,25-9913528,13494.830000000002,13.010003126489192,2020,5
140,UK,222700.23,194951.78,2020-12-12,Appliances,Johns and Sons,Jessamine Apark,Genevra Charrisson,Mobile,73-3464233,27748.45000000001,12.460000602603783,2020,12
141,Portugal,143322.47,114213.68,2020-05-19,Books,Johns and Sons,Celine Tumasian,Corene Shirer,PC,04-2863062,29108.790000000008,20.30999744841127,2020,5
142,UK,128227.36,106710.81,2019-06-01,Accessories,"Murray, Reichel and Nolan",Jessamine Apark,Jay Morefield,PC,18-7077174,21516.550000000003,16.779999213896318,2019,6
143,Sweden,127939.8,112267.17,2019-12-09,Clothing,Gislason-Stanton,Maxie Marrow,Alyosha Meah,PC,64-8300193,15672.630000000005,12.250003517279223,2019,12
144,Sweden,146540.75,120822.85,2019-04-30,Smartphones,"Swaniawski, Runolfsson and Green",Maxie Marrow,Anita Woakes,PC,84-2858993,25717.899999999994,17.54999889109343,2019,4
145,Portugal,36321.68,31581.7,2020-10-29,Books,Kirlin and Sons,Celine Tumasian,Smitty Culverhouse,PC,72-2647440,4739.98,13.050002092414225,2020,10
146,Spain,42814.57,35356.27,2019-02-01,Beauty,Wiza and Sons,Emalia Dinse,Perri Aldersley,PC,68-1806238,7458.300000000003,17.420004451755567,2019,2
147,UK,169262.2,141080.04,2020-04-26,Beauty,Considine-Fisher,Jessamine Apark,Winny Agnolo,PC,87-0922827,28182.160000000003,16.650002185957646,2020,4
148,Sweden,114427.36,93727.45,2020-03-11,Other,Tillman and Sons,Maxie Marrow,Madelon Bront,PC,33-8547717,20699.910000000003,18.090000503376118,2020,3
149,UK,126979.62,105113.73,2019-09-26,Electronics,Dibbert Inc,Jessamine Apark,Genevra Charrisson,PC,15-5051694,21865.89,17.219999555834235,2019,9
150,Luxembourg,294874.74,259106.43,2020-12-15,Books,Morissette Group,Ilsa Kob,Jocelyn Laurentino,PC,37-2363680,35768.31,12.130001369395018,2020,12
151,UK,173258.94,143198.51,2019-05-24,Clothing,Johns and Sons,Jessamine Apark,Jay Morefield,PC,92-4106004,30060.429999999993,17.350002256737802,2019,5
152,Luxembourg,158362.33,133990.37,2020-08-14,Books,Hessel-Stiedemann,Ilsa Kob,Jocelyn Laurentino,PC,39-1671087,24371.959999999992,15.38999836640443,2020,8
153,UK,50689.19,43597.77,2020-11-18,Clothing,"Swaniawski, Runolfsson and Green",Jessamine Apark,Jay Morefield,PC,77-9240051,7091.4200000000055,13.990004574939954,2020,11
154,Ireland,117358.02,102664.8,2020-11-02,Clothing,Goldner-Dibbert,Glenine Suttaby,Palm Wetherald,PC,79-8966057,14693.220000000001,12.519996503008487,2020,11
155,Sweden,93996.68,77171.27,2020-10-10,Games,"Swaniawski, Runolfsson and Green",Maxie Marrow,Alyosha Meah,Mobile,75-0683725,16825.40999999999,17.9000045533523,2020,10
156,UK,119769.22,98234.71,2020-01-11,Books,"Bashirian, Okuneva and Bechtelar",Jessamine Apark,Jay Morefield,PC,55-5032186,21534.509999999995,17.980003543481367,2020,1
157,France,84194.21,71885.02,2020-12-26,Books,"Zieme, Bailey and Herzog",Othello Bowes,Avrit Chanders,Mobile,31-8836719,12309.190000000002,14.619995840569086,2020,12
